qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,Target
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,1
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,1
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,1
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,1
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,1
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,1
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,1
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,1
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,1
10,18,20,5,15,10,1:26.702,1:25.842,,1
11,18,22,11,17,11,1:26.369,1:26.173,,0
12,18,4,4,5,12,1:26.907,1:26.188,,0
13,18,18,11,16,13,1:26.712,1:26.259,,0
14,18,6,3,8,14,1:26.891,1:26.413,,0
15,18,17,9,10,15,1:26.914,,,0
16,18,8,6,1,16,1:26.140,,,0
17,18,21,10,21,17,1:27.207,,,0
18,18,7,5,14,18,1:27.446,,,0
19,18,16,10,20,19,1:27.859,,,0
20,18,11,8,18,20,1:28.208,,,0
21,18,12,4,6,21,1:28.330,,,0
22,18,19,8,19,22,1:29.059,,,0
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,1
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,1
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,1
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,1
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,1
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,1
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,1
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,1
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,1
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,1
33,19,18,11,16,11,1:35.847,1:35.208,,0
34,19,14,9,9,12,1:36.058,1:35.408,,0
35,19,12,4,6,13,1:36.074,1:35.562,,0
36,19,22,11,17,14,1:36.198,1:35.622,,0
37,19,20,5,15,15,1:36.111,1:35.648,,0
38,19,3,3,7,16,1:35.843,1:35.670,,0
39,19,21,10,21,17,1:36.240,,,0
40,19,6,3,8,18,1:36.388,,,0
41,19,7,5,14,19,1:36.677,,,0
42,19,11,8,18,20,1:37.087,,,0
43,19,16,10,20,21,1:37.101,,,0
44,19,19,8,19,22,1:37.481,,,0
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,1
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,1
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,1
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,1
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,1
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,1
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,1
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,1
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,1
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,1
55,20,17,9,10,11,1:33.194,1:32.371,,0
56,20,22,11,17,12,1:32.944,1:32.508,,0
57,20,10,7,12,13,1:32.800,1:32.528,,0
58,20,12,4,6,14,1:32.975,1:32.790,,0
59,20,7,5,14,15,1:33.415,1:32.915,,0
60,20,6,3,8,16,1:33.386,1:32.943,,0
61,20,14,9,9,17,1:33.433,,,0
62,20,21,10,21,18,1:33.501,,,0
63,20,20,5,15,19,1:34.127,,,0
64,20,16,10,20,20,1:33.562,,,0
65,20,19,8,19,21,1:34.140,,,0
66,20,11,8,18,22,1:35.725,,,0
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,1
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,1
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,1
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,1
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,1
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,1
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,1
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,1
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,1
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,1
77,21,22,11,17,11,1:21.548,1:21.049,,0
78,21,6,3,8,12,1:21.690,1:21.117,,0
79,21,18,11,16,13,1:21.757,1:21.211,,0
80,21,10,7,12,14,1:21.427,1:21.230,,0
81,21,3,3,7,15,1:21.472,1:21.349,,0
82,21,7,5,14,16,1:21.540,1:21.724,,0
83,21,14,9,9,17,1:21.810,,,0
84,21,20,5,15,18,1:22.108,,,0
85,21,21,10,21,19,1:22.516,,,0
86,21,16,10,20,20,1:23.224,,,0
87,21,19,8,19,21,1:23.318,,,0
88,21,11,8,18,22,1:23.496,,,0
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,1
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,1
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,1
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,1
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,1
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,1
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,1
